Customer_ID,total_transactions,total_quantity,total_revenue,avg_order_value,first_purchase,last_purchase,customer_lifetime_days,recency_days
12346.0,12,74285,77556.46,2281.0723529411766,2009-12-14 08:34:00,2011-01-18 10:01:00,400,325
12347.0,8,3286,5633.32,22.26608695652174,2010-10-31 14:20:00,2011-12-07 15:52:00,402,1
12348.0,5,2714,2019.4,39.596078431372554,2010-09-27 14:59:00,2011-09-25 13:13:00,362,74
12349.0,4,1624,4428.69,25.3068,2010-04-29 13:20:00,2011-11-21 09:51:00,570,18
12350.0,1,197,334.4,19.670588235294115,2011-02-02 16:01:00,2011-02-02 16:01:00,0,309
12351.0,1,261,300.93,14.33,2010-11-29 15:23:00,2010-11-29 15:23:00,0,374
12352.0,10,724,2849.84,27.668349514563108,2010-11-12 10:20:00,2011-11-03 14:37:00,356,35
12353.0,2,212,406.76,16.948333333333334,2010-10-27 12:44:00,2011-05-19 17:47:00,204,203
12354.0,1,530,1079.4,18.610344827586207,2011-04-21 13:11:00,2011-04-21 13:11:00,0,231
12355.0,2,543,947.61,27.074571428571428,2010-05-21 11:59:00,2011-05-09 13:49:00,353,213
12356.0,6,3417,6373.68,44.57118881118881,2010-10-11 09:42:00,2011-11-17 08:40:00,401,22
12357.0,3,6587,18287.66,61.78263513513514,2010-11-16 10:05:00,2011-11-06 16:07:00,355,32
12358.0,5,1079,3887.07,50.48142857142857,2009-12-08 07:59:00,2011-12-08 10:26:00,730,1
12359.0,10,2752,8935.94,24.482027397260275,2009-12-05 13:32:00,2011-10-13 12:47:00,676,57
12360.0,8,2459,4252.89,19.59857142857143,2010-02-22 09:32:00,2011-10-18 15:22:00,603,51
12361.0,4,235,511.25,17.629310344827587,2010-01-26 14:37:00,2011-02-25 13:51:00,394,286
12362.0,11,2230,5356.23,20.06078651685393,2009-12-01 10:10:00,2011-12-06 15:40:00,735,2
12363.0,2,408,552.0,24.0,2011-04-11 13:29:00,2011-08-22 10:18:00,132,109
12364.0,4,1506,1313.1,15.448235294117646,2011-08-19 15:24:00,2011-12-02 10:22:00,104,7
12365.0,2,174,641.38,29.153636363636362,2011-02-21 13:51:00,2011-02-21 14:04:00,0,290
12366.0,1,296,500.24,166.74666666666667,2010-03-16 10:28:00,2010-03-16 10:28:00,0,633
12367.0,1,173,168.9,15.354545454545455,2011-12-05 16:48:00,2011-12-05 16:48:00,0,3
12368.0,1,330,917.6999999999999,50.98333333333333,2010-03-21 15:56:00,2010-03-21 15:56:00,0,627
12369.0,3,1241,1791.15,19.25967741935484,2010-03-08 08:09:00,2010-10-22 13:13:00,228,412
12370.0,7,2605,4320.31,21.387673267326736,2010-02-09 09:41:00,2011-10-19 14:51:00,617,50
12371.0,5,1436,4067.38,24.35556886227545,2010-03-04 18:23:00,2011-10-26 10:16:00,600,44
12372.0,3,794,1298.04,24.962307692307693,2011-02-16 12:46:00,2011-09-29 12:12:00,224,71
12373.0,3,516,1127.65,22.110784313725492,2010-02-04 12:08:00,2011-02-01 13:10:00,362,310
12374.0,4,1362,2989.2200000000003,36.01469879518073,2010-04-30 14:01:00,2011-11-14 15:37:00,563,24
12375.0,2,178,457.5,26.91176470588235,2011-09-02 14:23:00,2011-11-29 10:36:00,87,10
12376.0,2,240,503.15,38.70384615384615,2010-10-18 08:42:00,2010-11-15 12:15:00,28,389
12377.0,4,2105,3426.32,22.54157894736842,2010-04-29 15:34:00,2011-01-28 15:45:00,274,314
12378.0,2,3316,5416.32,17.994418604651162,2010-05-26 14:07:00,2011-08-02 10:34:00,432,129
