churn,total_revenue_log,avg_order_value_log,total_quantity_log,total_transactions_log,customer_lifetime_days_log
1,11.258774359980725,7.732839235853306,11.215677787648746,2.5649493574615367,5.993961427306569
0,8.63663174483544,3.146996804881003,8.097730573664219,2.1972245773362196,5.998936561946683
0,7.6110507905938976,3.703671471582256,7.906547232368036,1.791759469228055,5.8944028342648505
0,8.39608488316401,3.2698274608971807,7.393263094763838,1.6094379124341003,6.3473892096560105
1,5.815323849389109,3.0287118316967807,5.288267030694535,0.6931471805599453,0.0
1,5.710195202428391,2.7298116928837226,5.568344503761097,0.6931471805599453,0.0
0,7.9553689666784315,3.3557937098587733,6.586171654854675,2.3978952727983707,5.877735781779639
1,6.010678766031786,2.8874972601127347,5.3612921657094255,1.0986122886681098,5.3230099791384085
1,6.985086621918461,2.97605722432628,6.274762021241939,0.6931471805599453,0.0
1,6.854997755239065,3.334864235274561,6.298949246855942,1.0986122886681098,5.869296913133774
0,8.76008917268833,3.8192756925192075,8.136810863675537,1.9459101490553132,5.996452088619021
0,9.814036474622236,4.139678524651032,8.79300509129753,1.3862943611198906,5.87493073085203
0,8.265668169533484,3.941221132370651,6.984716320118266,1.791759469228055,6.594413459749778
0,9.097948527696552,3.237973395719912,7.920446505142607,2.3978952727983707,6.517671272912275
0,8.355589137409874,3.025221725263242,7.807916628926408,2.1972245773362196,6.403574197934815
1,6.238812787119009,2.9247361654005215,5.4638318050256105,1.6094379124341003,5.978885764901122
0,8.586202329437555,3.047412852487761,7.7102051944325325,2.4849066497880004,6.601230118728877
0,6.315358001522335,3.2188758248682006,6.013715156042802,1.0986122886681098,4.890349128221754
0,7.180907299649593,2.8002181945034623,7.317876198626496,1.6094379124341003,4.653960350157523
1,6.465180028897591,3.406305524976337,5.1647859739235145,1.0986122886681098,0.0
1,6.217085028297085,5.122454904814821,5.6937321388027,0.6931471805599453,0.0
0,5.135210028677887,2.794505868158117,5.159055299214529,0.6931471805599453,0.0
1,6.822959627277421,3.9509231543857024,5.802118375377063,0.6931471805599453,0.0
1,7.491171295388921,3.008632576648116,7.124478262493424,1.3862943611198906,5.43372200355424
0,8.371313876010715,3.108510506824295,7.8655717576847906,2.0794415416798357,6.42648845745769
0,8.31100016480189,3.232998384896522,7.270312886079025,1.791759469228055,6.398594934535208
0,7.169380809114136,3.2566457820417285,6.678342114654332,1.3862943611198906,5.41610040220442
1,7.028777507229587,3.140299361993631,6.248042874508429,1.3862943611198906,5.8944028342648505
0,8.003102242273277,3.6113150984900964,7.217443431696533,1.6094379124341003,6.335054251498059
0,6.127960291696519,3.3290482739937666,5.187385805840755,1.0986122886681098,4.477336814478207
1,6.222873842839224,3.681448063450062,5.484796933490655,1.0986122886681098,3.367295829986474
1,8.139533893646055,3.1587681746620704,7.652545692693921,1.6094379124341003,5.616771097666572
0,8.597356507200939,2.9441451783612713,8.106816038947052,1.0986122886681098,6.07073772800249
0,7.390934231218893,3.0446517650451757,6.704414354964107,1.6094379124341003,6.115892125483034
0,9.177538215743802,3.581641927270304,8.118505067587098,2.4849066497880004,6.46302945692067
0,7.520944331624911,3.100563338732817,6.695798917058491,1.791759469228055,4.7535901911063645
1,7.523783805985769,2.980239134936795,7.334981878871814,1.791759469228055,5.123963979403259
0,6.373780434317173,3.1213364956888596,4.844187086458591,1.0986122886681098,4.532599493153256
